#,वग्ग,छेच्क्,,,,नाम,छेच्क्,,,,,,तोतल्,दोने,लेफ़्त्,मेमोरिज़े
१३४,,,३,४,४,लोमसकङ्गियभद्देकरत्तसुत्त,,☆,,,,,,,,
१३५,,,३,४,५,चूळकम्मविभङ्गसुत्त,,☆,,,,,,,,
१३६,,,३,४,६,महाकम्मविभङ्गसुत्त,,☆,,,,,,,,
१३७,,,३,४,७,सळायतनविभङ्गसुत्त,,☆,,,,,,,,
१३८,,,३,४,८,उद्देसविभङ्गसुत्त,,☆,☆,,,,,,,
१३९,,,३,४,९,अरणविभङ्गसुत्त,,☆,,,,,,,,
१४०,,,३,४,१०,धातुविभङ्गसुत्त,,☆,,,,,,,,
१४१,,,३,४,११,सच्चविभङ्गसुत्त,,☆,,,,,,,,
१४२,,,३,४,१२,दक्खिणाविभङ्गसुत्त,,☆,,,,,,,,
१४३,सळायतनवग्गो,,३,५,१,अनाथपिण्डिकोवादसुत्त,,☆,,,,,,,,
१४४,,,३,५,२,छन्नोवादसुत्त,,☆,,,,,,,,
१४५,,,३,५,३,पुण्णोवादसुत्त,,☆,,,,,,,,
१४६,,,३,५,४,नन्दकोवादसुत्त,,☆,,,,,,,,
१४७,,,३,५,५,चूळराहुलोवादसुत्त,,☆,,,,,,,,
१४८,,,३,५,६,छछक्कसुत्त,,☆,,,,,,,,
१४९,,,३,५,७,महासळायतनिकसुत्त,,☆,२,,,,,,,
१५०,,,३,५,८,नगरविन्देय्यसुत्त,,☆,☆,,१५०: दियड्ढसतं,,,,,
१५१,,,३,५,९,पिण्डपातपारिसुद्धिसुत्त,,☆,☆,,,,,,,
१५२,,,३,५,१०,इन्द्रियभावनासुत्त,,☆,,,,,,,,
